graph6_encoding,type,num_nodes,gpn_num
@,bipartite,1,1
@,triangle-free,1,1
A_,bipartite,2,3
A_,triangle-free,2,3
BW,triangle-free,3,6
BW,bipartite,3,6
C],bipartite,4,12
C],triangle-free,4,12
DFw,triangle-free,5,20
DFw,bipartite,5,20
EFz_,cubic,6,33
EFz_,triangle-free,6,33
EFz_,bipartite,6,33
F?~v_,bipartite,7,49
F?zv_,triangle-free,7,49
F?zv_,bipartite,7,49
F?~v_,triangle-free,7,49
G?zVf_,bipartite,8,74
G?zvf_,triangle-free,8,74
G?zVf_,triangle-free,8,74
G?zvf_,bipartite,8,74
H?ovfbo,bipartite,9,105
H?BvUrw,bipartite,9,105
H?BvVrw,bipartite,9,105
H?BvVrw,triangle-free,9,105
H?BvUrw,triangle-free,9,105
H?ovfbo,triangle-free,9,105
I?BvUqw}?,bipartite,10,151
I?BvUqw}?,triangle-free,10,151
