,graph6_label,num_nodes,num_edges,gpn_score
0,J?BZtrw{FO?,11,25,206
1,K??D~zk~FoZ_,12,32,272
2,L??Fvj[~FWV_^?,13,36,364
3,M???D~u}f[Zo^_~??,14,42,476
4,N???E~m}d{\o|_~?No?,15,48,594
5,O????Bvmv]Vo~OvoNwFs?,16,53,744
6,P????BVvvu^G|O~_VwF]?^o?,17,60,912
7,Q??????|}|V{zWvo^gFt?^wBj_?,18,66,1122
8,R??????}vjJ{ngvW^SFm?zwA~_B~??,19,73,1353
9,S???????B~zy~g}[]uFN_v[AnoF}?Dv_?,20,81,1640
10,T???????Ft}}^sn[\{@~_u{BuoF}?Ez_Bno?,21,90,1947
11,U?????????N}~e|]^lD|ovuBnoFfoEvo@nw?ny??,22,99,2321
12,V?????????^l~ku}^rB~O|{BlwDvoFvO@vw?nu?E^o??,23,108,2708
13,W???????????m~zv^vB~Wx~A~sFjwF~GB^w?v^?B}w?^V_?,24,120,3168
14,X???????????|}yvVVb\w|nBnkF}gE~o@z{?Nv?FzW?R~_?~\??,25,126,3664
15,Y?????????????n]l~u}s^nbmyF|WE^wBz]?~x_Fjw?]}o?m~_?vZ_??,26,136,4239
16,Z?????????????mv|tvrk~pa^}@^{B~wBvi?]n_Fzs?^n_?t~_?z{_?]ro??,27,145,4863
17,[???????????????\zvty^ZqZ~FVmF~KB[~?^{oD^u?]ng?|n_?vuo?U|w?B}y??,28,154,5586
18,\???????????????^d~\}}rqu~E~eF^iA~u?~uoFnY?]^o?^v_?Z^o?V^g?A~u??v^o??,29,168,6343
19,]?????????????????FzxzxzZzd~VDj~@vv_^uwF{^?T~s?v~_?r^w?^U{?Flz??~vO?@z~???,30,180,7230
